Pos,Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
11,Biobio,1663696,23890,2022-04-12,99,4,37,140,8,41499889402872,350137,1,4227,1,20724173680588,1403,1,35962,344382,2020-03-09,765,33,1758,3472683,7,96359499431172,0,3,421,156,1508216,1472223,1220147,262264,43896
12,Araucania,1014343,31842,2022-04-12,28,9,30,67,6,60526074513256,214314,0,2537,1,18377707475946,525,0,11319,211282,2020-03-16,758,16,597,1473007,11,2227805695142,0,2,174,36,940166,915412,719077,139394,28859
13,Los Rios,405835,18429,2022-04-12,19,0,13,32,7,88497788510109,105433,0,1205,1,14290592129599,265,0,6034,103926,2020-03-16,758,3,272,781640,11,7647058823529,0,1,120,15,377358,367420,299083,60189,13139
14,Los Lagos,891440,48583,2022-04-12,23,2,7,32,3,5896975679799,193240,0,2293,1,18660732767543,320,0,16330,190495,2020-03-07,767,21,700,2336123,4,57142857142857,0,1,50,9,819939,795929,638686,109920,38118
15,Aysen,107297,108494,2022-04-12,6,6,0,12,11,1839100813629,24756,0,178,0,719017611892067,82,0,1794,24474,2020-03-14,760,2,73,259129,16,4383561643836,0,1,25,3,93446,91034,78588,13913,10702
16,Magallanes,178362,132033,2022-04-12,14,0,6,20,11,2131507832386,50917,0,701,1,37675039770607,128,0,3294,50025,2020-03-17,757,2,145,456370,13,7931034482759,0,2,41,3,156081,153093,138834,32518,14991
17,Total,19458310,755839,2022-04-12,895,162,421,1478,7,59572645311952,3515878,13,57094,1,62389024875152,12364,7,353904,3448188,2020-03-03,771,414,23797,32625428,6,21086691599781,0,29,2347,474,17320398,16848775,13781253,2833890,574538
1,Arica y Parinacota,252110,16873,2022-04-11,12,5,0,17,6,74308833445718,55141,0,807,1,46352079215103,209,0,3439,54085,2020-03-19,754,1,202,625934,8,41584158415842,0,1,24,8,223463,213398,164780,27515,10223
2,Tarapaca,382773,42225,2022-04-11,12,5,3,20,5,22502893359772,79232,0,1084,1,36813408723748,118,0,10393,78006,2020-03-23,750,3,1283,897903,1,55884645362432,0,2,147,47,342008,321890,246744,32727,18960
3,Antofagasta,691854,126049,2022-04-11,25,20,11,56,8,09419328355404,121963,1,1747,1,43240163000254,469,0,6821,119721,2020-03-14,759,16,1648,1624185,3,39805825242718,0,2,87,22,629189,608045,484225,68681,21121
4,Atacama,314709,75176,2022-04-11,13,8,9,30,9,53261584511406,65294,0,577,0,883695285937452,277,0,1744,64467,2020-03-14,759,4,581,720241,5,16351118760757,0,1,30,4,300512,289742,226379,37446,7369
5,Coquimbo,836096,40579,2022-04-11,37,10,14,61,7,29581292100429,125026,0,1656,1,32452449890423,590,0,9381,122796,2020-03-19,754,12,1420,1093864,4,29577464788732,0,1,95,19,773479,751198,600002,108267,24165
6,Valparaiso,1960170,16396,2022-04-11,124,16,56,196,9,99913272828377,301909,4,5529,1,83134653157077,1477,0,50199,295308,2020-03-16,757,43,3121,2637275,6,28003844921499,0,1,204,19,1823210,1774276,1450709,336309,51447
7,Metropolitana,8125072,15403,2022-04-11,471,116,462,1049,12,910654822505,1342567,16,28102,2,09315438261182,6547,8,161566,1309522,2020-03-04,769,219,17546,12479366,5,97857061438505,0,3,526,119,6816994,6637344,5485092,1158270,225747
8,OHiggins,991063,16387,2022-04-11,56,14,25,95,9,58566710693468,148437,3,2488,1,67613196170766,700,0,14802,145418,2020-03-19,754,13,909,1174904,10,4510451045105,0,1,24,9,954014,930737,759849,153173,23348
9,Maule,1131939,30296,2022-04-11,123,39,5,167,14,7534451944849,237050,8,2866,1,20902763130141,982,1,10644,233208,2020-03-03,770,18,1541,1782671,10,8371187540558,0,4,291,77,1066289,1039992,855852,170687,31169
10,Nuble,511551,13178,2022-04-11,43,6,22,71,13,8793590472895,99133,1,1083,1,09247172989822,470,0,10180,97547,2020-03-12,761,9,757,789881,9,37912813738441,0,3,88,16,495281,485605,405370,86800,11284
11,Biobio,1663696,23890,2022-04-11,105,28,77,210,12,6224983410431,350000,5,4226,1,20742857142857,1826,1,35962,343822,2020-03-09,764,34,2921,3470925,7,18931872646354,0,3,421,177,1508147,1472089,1219444,258398,43896
